<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20151008;120000;140.5300000;140.6000000;138.6000000;138.7100000;6346670
GAZP;60;20151008;130000;138.7800000;139.3600000;138.3500000;138.7800000;3030580
GAZP;60;20151008;140000;138.7500000;139.2600000;138.6100000;138.9800000;2377110
GAZP;60;20151008;150000;138.9900000;139.2500000;138.4400000;138.9000000;2065280
GAZP;60;20151008;160000;138.9000000;139.6500000;138.6500000;139.6100000;2824790
GAZP;60;20151008;170000;139.6100000;140.4000000;139.5400000;140.1500000;5229200
GAZP;60;20151008;180000;140.1300000;140.5000000;139.5800000;140.2100000;4213700
GAZP;60;20151008;190000;140.2400000;140.5000000;139.8000000;139.8000000;2516770
GAZP;60;20151009;110000;140.6300000;141.9900000;140.6100000;140.9900000;12903850
GAZP;60;20151009;120000;140.9900000;141.9800000;140.7900000;141.9600000;4135100
GAZP;60;20151009;130000;141.9600000;143.4600000;141.8000000;142.6500000;13168400
GAZP;60;20151009;140000;142.6200000;143.1700000;142.4300000;142.4800000;4557170
GAZP;60;20151009;150000;142.4900000;143.9000000;142.3800000;143.8300000;5056810
GAZP;60;20151009;160000;143.8500000;144.8900000;143.6900000;144.5900000;8590100
GAZP;60;20151009;170000;144.5700000;144.5800000;143.1300000;143.1700000;5152270
GAZP;60;20151009;180000;143.1600000;145.3200000;143.0800000;144.7200000;9116820
GAZP;60;20151009;190000;144.7300000;144.9000000;143.7900000;143.8100000;2069910
GAZP;60;20151012;110000;143.8800000;144.9900000;143.3200000;143.7000000;5100700
GAZP;60;20151012;120000;143.6600000;143.9800000;142.7600000;143.2600000;3670300
GAZP;60;20151012;130000;143.2800000;143.6200000;142.4200000;142.7500000;3251730
GAZP;60;20151012;140000;142.6700000;142.7800000;142.0700000;142.5900000;2186440
GAZP;60;20151012;150000;142.5900000;143.3800000;142.5800000;143.3000000;1568230
GAZP;60;20151012;160000;143.3000000;143.3200000;142.1900000;142.2900000;1950420
GAZP;60;20151012;170000;142.2300000;142.5100000;141.1000000;141.2100000;3715960
GAZP;60;20151012;180000;141.2600000;141.6500000;140.7200000;141.0300000;3563960
GAZP;60;20151012;190000;141.0500000;142.1000000;140.7700000;141.7000000;4291980
GAZP;60;20151013;110000;141.0200000;141.3500000;139.8000000;140.6200000;6084740
GAZP;60;20151013;120000;140.6300000;141.1000000;139.8000000;140.0000000;2829800
